MAT;AGE;AGEGRP;DAYSLEFT;ISNUC;HASOISL;HASPLNORD
400140752-3014N868;461;> 8 weeks;-58;Y;;Y
000049957-3014N868;461;> 8 weeks;-15;Y;;Y
000052048-3014N868;461;> 8 weeks;-156;Y;;Y
720071922-888-NC57;461;> 8 weeks;-95;Y;;
720072333-888-NC55;461;> 8 weeks;-95;Y;;Y
721003109-888-0000;461;> 8 weeks;-67;N;;Y
400145939-3014NA69;461;> 8 weeks;-66;Y;;Y
400150431-2915NB48;461;> 8 weeks;-131;Y;;Y
035003010-162MA506;461;> 8 weeks;8;N;;Y
400082968-3181NF44;461;> 8 weeks;-64;Y;;
050000DZ2-2805NC84;444;> 8 weeks;-290;Y;;
400077228-3023NE79;441;> 8 weeks;-45;Y;;Y
720072334-888-NC55;441;> 8 weeks;-79;Y;;Y
400120909-3014NE77;441;> 8 weeks;3;Y;;Y
720068664-3021NA48;441;> 8 weeks;-3;Y;;Y
720007450-3021NA48;441;> 8 weeks;-3;Y;;Y
720068581-3021NA48;441;> 8 weeks;-3;Y;;Y
720072334-888-0000;438;> 8 weeks;-38;N;;Y
400112668-3021NA48;434;> 8 weeks;-16;Y;;Y
720007449-3021NA48;434;> 8 weeks;-16;Y;;Y
720065635-3021N870;402;> 8 weeks;135;Y;;
720065636-3021N870;402;> 8 weeks;5;Y;;Y
000041377-3023NE79;353;> 8 weeks;-86;Y;;Y
035010100-3005NE77;353;> 8 weeks;-53;Y;;
400129689-104BC026;353;> 8 weeks;-87;N;;
721003106-888-0000;352;> 8 weeks;-50;N;;Y
035008101-3005NE77;346;> 8 weeks;-136;Y;;Y
035000010-162MA506;338;> 8 weeks;8;N;;Y
435004004-163MA506;336;> 8 weeks;49;N;;
721011206-888-0000;326;> 8 weeks;-102;N;;Y
400149098-888-0000;305;> 8 weeks;54;N;;Y
720065562-999-NG52;274;> 8 weeks;20;Y;;Y
720065563-999-NG52;274;> 8 weeks;-124;Y;;Y
BOMS1536511-36000;267;> 8 weeks;-218;N;;
010287012-105-0000;217;> 8 weeks;12;N;Y;Y
720048506-888-0000;213;> 8 weeks;73;N;;Y
400149097-888-0000;213;> 8 weeks;66;N;;Y
400120909-3014NA69;208;> 8 weeks;-716;Y;;
720072856-3394NA69;207;> 8 weeks;-54;Y;;Y
400140753-3014N868;205;> 8 weeks;-187;Y;;
000064521-2961NG55;199;> 8 weeks;-73;Y;;
000064521-2961ND25;193;> 8 weeks;-28;Y;;
400128013-162M1063;183;> 8 weeks;-207;N;;
971886021-2C8A0000;182;> 8 weeks;-134;N;;Y
400041374-3549ND12;179;> 8 weeks;-64;Y;;
720007446-3549ND12;179;> 8 weeks;-64;Y;;
720092870-2804ND86;179;> 8 weeks;-236;Y;;
971156019-250-0000;168;> 8 weeks;-58;N;;
400079308-2694ND16;163;> 8 weeks;-108;Y;;
400095919-2802ND10;163;> 8 weeks;-50;Y;;
720007447-3549ND12;163;> 8 weeks;-64;Y;;
720007448-3549ND12;163;> 8 weeks;-85;Y;;
720007451-2926ND18;163;> 8 weeks;-85;Y;;
720007452-3231ND30;163;> 8 weeks;-85;Y;;
720007453-2808ND30;163;> 8 weeks;-48;Y;;
720007453-2926ND18;163;> 8 weeks;-57;Y;;
720007460-2926ND18;163;> 8 weeks;-85;Y;;
720007461-3231ND30;163;> 8 weeks;-99;Y;;
720007515-2802ND10;163;> 8 weeks;-99;Y;;
720007526-2802ND10;163;> 8 weeks;-85;Y;;
720009548-2802ND10;163;> 8 weeks;-58;Y;;
720064902-2802ND10;163;> 8 weeks;-64;Y;;
720067426-2802ND10;163;> 8 weeks;-64;Y;;
720074440-2802ND10;163;> 8 weeks;-85;Y;;
720075848-2802ND10;163;> 8 weeks;-85;Y;;
720078836-2802ND10;163;> 8 weeks;-64;Y;;
720081167-2802ND10;163;> 8 weeks;-64;Y;;
720083605-2694ND16;163;> 8 weeks;-85;Y;;
720090559-2694ND16;163;> 8 weeks;-57;Y;;
720091287-2694ND16;163;> 8 weeks;-57;Y;;
971511067-2926ND18;163;> 8 weeks;-64;Y;;
971511076-3231ND30;163;> 8 weeks;-85;Y;;
721005471-888-0000;162;> 8 weeks;-108;N;;
035000DZ2-2806ND28;161;> 8 weeks;-199;Y;;
720093043-828-0000;158;> 8 weeks;-23;N;;
720092961-828-0000;158;> 8 weeks;12;N;;Y
720092960-828-0000;158;> 8 weeks;12;N;;Y
720093002-826-0000;158;> 8 weeks;-46;N;;
971589007-250-0000;144;> 8 weeks;129;N;;
435003004-163MA506;143;> 8 weeks;-140;N;;
035000011-162MA506;128;> 8 weeks;44;N;;Y
400116207-163MA506;127;> 8 weeks;-11;N;;Y
035000010-162ME121;124;> 8 weeks;-50;N;;
035012004-163MA506;121;> 8 weeks;-103;N;;Y
000005533-162H0000;116;> 8 weeks;-10;N;;Y
720011515-2928N241;116;> 8 weeks;-43;Y;;
720007514-2928N241;116;> 8 weeks;-43;Y;;
720024402-999-0000;115;> 8 weeks;-19;N;;
720057165-2759N588;115;> 8 weeks;-44;Y;;Y
721005423-888-0000;112;> 8 weeks;-3;N;;
000011753-259-0000;110;> 8 weeks;79;N;;Y
035002010-162MA506;107;> 8 weeks;-53;N;;Y
400131727-888-0000;101;> 8 weeks;-4;N;;
721016390-015B1063;99;> 8 weeks;-142;N;;
720007448-3231N258;99;> 8 weeks;-43;Y;;
720007463-3231N258;99;> 8 weeks;-43;Y;;
435002004-163MA506;99;> 8 weeks;-28;N;;
400083770-600-0000;93;> 8 weeks;-38;N;;
721016351-888-N943;92;> 8 weeks;-122;Y;;Y
721016350-888-N943;92;> 8 weeks;-122;Y;;Y
400122553-567-0000;85;> 8 weeks;-89;N;;
721016352-888-N943;82;> 8 weeks;250;Y;;Y
721005517-888-0000;78;> 8 weeks;-74;N;;
035003011-162MA506;78;> 8 weeks;-13;N;;Y
035001010-162MA506;77;> 8 weeks;-21;N;;Y
720011036-2759N744;73;> 8 weeks;-70;Y;;
035000DZ2-2660N207;73;> 8 weeks;-8;Y;;
720059996-3333N795;73;> 8 weeks;-156;Y;;
720060025-2759N744;73;> 8 weeks;-70;Y;;
015000DZ2-3126NF00;73;> 8 weeks;-184;Y;;
029000180-215-1558;73;> 8 weeks;-20;N;;
971514002-028-0000;72;> 8 weeks;34;N;;
721018518-529CD549;65;> 8 weeks;-11;N;;
010271002-686-0000;60;> 8 weeks;-127;N;;
720038930-999-E119;59;> 8 weeks;-123;N;;
435201160-300A0000;58;> 8 weeks;-36;N;;
721018682-259-0000;58;> 8 weeks;-50;N;;
400105841-163S1063;58;> 8 weeks;-109;N;;
010295001-002A0000;58;> 8 weeks;-146;N;;
721020304-244-1063;51;< 8 weeks;-104;N;;
721020273-528-0000;50;< 8 weeks;-109;N;;
721020376-528-0000;50;< 8 weeks;-109;N;;
721020294-528-0000;50;< 8 weeks;-109;N;;
721020351-528-0000;50;< 8 weeks;-107;N;;
720057165-2759NG72;47;< 8 weeks;-25;Y;;
041107001-105-0000;46;< 8 weeks;-106;N;;
021107003-105-0000;46;< 8 weeks;-102;N;;
721005422-888-0000;45;< 8 weeks;19;N;;Y
400120911-2831ND47;45;< 8 weeks;-96;Y;;
721018353-104BE175;43;< 8 weeks;-4;N;;
720090261-104BE175;43;< 8 weeks;-4;N;;
035001011-104F2297;43;< 8 weeks;-152;N;;
721018718-888-A734;42;< 8 weeks;-112;N;;
720073075-032-0000;40;< 8 weeks;-95;N;;
720073066-032-0000;40;< 8 weeks;-64;N;;
010192002-999-0000;39;< 8 weeks;-45;N;;
721021716-888-0000;38;< 8 weeks;-100;N;;
400081759-163T1063;38;< 8 weeks;-187;N;;
720094997-032-0000;37;< 8 weeks;-53;N;;
720094998-24380000;37;< 8 weeks;-88;N;;
720094890-032-0000;37;< 8 weeks;-40;N;;
721001025-888-A500;37;< 8 weeks;-29;N;;
435003004-104F1063;37;< 8 weeks;-140;N;;
010106000-153G0000;35;< 8 weeks;-44;N;;
400128305-104B1063;35;< 8 weeks;-173;N;;
400140726-2927N963;34;< 8 weeks;-242;Y;;
400129168-826-0000;34;< 8 weeks;-24;N;;Y
400104158-143A0000;33;< 8 weeks;-96;N;;
035002011-162MA506;31;< 8 weeks;37;N;;Y
4608801-PH;31;< 8 weeks;-43;N;;
035004011-162MA506;26;< 4 weeks;29;N;;Y
010157171-163H0000;26;< 4 weeks;-43;N;;
721021905-104B1063;24;< 4 weeks;-78;N;;
400132559-888-0000;24;< 4 weeks;-24;N;;
720067223-999-0000;23;< 4 weeks;-136;N;;
400098975-163TC749;23;< 4 weeks;0;N;;
